time,y_value
0.122215,1080
0.122215,1080
0.122215,849
0.122215,467
0.122215,467
3.454032,1080
3.480526,1080
3.507079,897
3.534596,754
3.560504,764
3.587931,1057
3.587931,930
3.61582,1080
3.61582,1080
3.642661,1080
3.642661,1080
3.669633,1080
3.696006,195
3.722674,696
3.750465,812
3.750465,333
3.777352,811
3.803594,556
3.803594,738
3.803594,289
3.831141,1080
3.831141,464
3.831141,342
3.831141,195
3.858151,1080
3.858151,446
3.858151,314
3.885896,1080
3.885896,1080
3.885896,454
3.91247,1080
3.91247,902
3.91247,756
3.91247,1080
3.939763,1080
3.939763,1080
3.939763,761
3.939763,645
3.967613,1080
3.967613,696
3.967613,525
3.967613,599
3.967613,575
3.995477,1080
3.995477,556
3.995477,377
3.995477,543
4.022762,552
4.022762,376
4.022762,533
4.050768,710
4.050768,743
4.050768,545
4.077838,736
4.104478,736
4.130693,672
4.130693,525
4.157073,527
4.184241,625
4.184241,434
4.211811,681
4.211811,605
4.238291,693
4.265345,691
4.291912,615
4.291912,496
4.345646,631
4.345646,506
4.372594,676
4.399922,675
4.426414,651
4.453078,578
4.479174,601
4.506242,659
4.532924,651
4.559279,658
4.585294,616
4.612599,569
4.639181,639
4.666469,652
4.693253,652
4.720059,634
4.746184,570
4.772776,617
4.799833,648
4.826694,648
4.852886,643
4.879507,592
4.90686,592
4.934049,642
4.961178,642
4.987435,643
5.013759,611
5.040782,574
5.067078,629
5.094229,639
5.12022,640
5.146004,625
5.171807,573
5.198814,612
5.225454,635
5.252923,635
5.279386,630
5.30604,590
5.333059,596
5.358827,630
5.385419,629
5.411946,630
5.438174,604
5.466162,582
5.493734,622
5.520382,628
5.548049,628
5.574484,614
5.600718,544
5.626507,611
5.652555,625
5.679903,625
5.706106,620
5.731616,585
5.757818,600
5.783618,622
5.837622,621
5.863452,596
5.891182,589
5.918082,618
5.945055,620
5.971546,620
5.998956,605
6.053076,611
6.080756,618
6.107749,618
6.134637,611
6.161546,581
6.161546,555
6.18792,602
6.213989,617
6.240842,617
6.240842,590
6.267265,614
6.293285,591
6.320069,594
6.346673,614
6.399271,615
6.428787,598
6.454879,587
6.481134,610
6.507362,613
6.507362,587
6.533414,613
6.559569,603
6.611988,604
6.63836,612
6.665801,612
6.665801,588
6.692961,607
6.720363,560
6.746663,598
6.773267,610
6.825176,608
6.852624,592
6.879009,592
6.905169,607
6.959044,608
6.985705,597
7.043691,604
