time,y_value
0.138155,1080
0.138155,1065
0.138155,1065
0.198824,510
0.488946,512
3.297786,685
3.297786,547
3.324484,899
3.324484,815
3.324484,561
3.351677,899
3.351677,619
3.351677,715
3.380293,583
3.380293,359
3.380293,755
3.407312,276
3.407312,129
3.407312,318
3.43529,122
3.43529,48
3.462662,496
3.462662,49
3.489071,744
3.489071,333
3.515815,743
3.543743,670
3.543743,530
3.569918,514
3.569918,235
3.596212,247
3.621821,407
3.621821,91
3.649403,658
3.649403,404
3.676467,706
3.676467,647
3.704589,702
3.704589,589
3.732205,583
3.732205,419
3.760094,425
3.760094,227
3.787793,295
3.815062,537
3.815062,279
3.842188,598
3.842188,488
3.869263,621
3.896502,620
3.896502,482
3.922527,493
3.950122,428
3.976996,556
3.976996,376
4.004128,538
4.031028,560
4.058151,560
4.085595,484
4.112727,529
4.139745,565
4.165275,564
4.191618,559
4.219366,522
4.24574,510
4.272821,555
4.299296,558
4.327657,560
4.353934,537
4.407008,545
4.433656,558
4.46201,559
4.490396,546
4.516553,501
4.541895,532
4.569857,557
4.596256,557
4.623937,553
4.650951,515
4.677945,518
4.705185,553
4.732021,552
4.759437,555
4.786621,527
4.812967,506
4.839455,545
4.866874,553
4.894045,555
4.920386,537
4.946481,453
4.973396,535
5.008466,552
5.035234,552
5.06279,544
5.089404,507
5.11605,524
5.14361,549
5.197412,548
5.225102,519
5.251219,515
5.278026,545
5.304888,546
5.331427,548
5.357983,527
5.38429,506
5.410706,538
5.43728,547
5.462617,548
5.489358,535
5.516586,458
5.542386,531
5.56909,545
5.595886,546
5.622779,539
5.64815,510
5.675008,522
5.700979,545
5.754152,543
5.785938,519
5.813235,514
5.8405,540
5.867393,542
5.904959,543
5.931468,526
5.958343,504
5.985336,534
6.012044,542
6.03839,542
6.06431,534
6.091386,504
6.118622,528
6.144125,541
6.17079,541
6.197647,537
6.225156,513
6.267986,518
6.295073,539
6.349043,539
6.375583,519
6.40177,513
6.428639,536
6.454788,538
6.480259,540
6.50605,526
6.560185,531
6.586609,538
6.612852,538
6.638669,531
6.665926,506
6.665926,464
6.692322,525
6.719144,537
6.746581,537
6.772971,535
6.800882,513
6.828357,519
6.855054,536
6.907856,536
6.941408,519
6.969337,513
6.995438,533
7.02288,535
7.049947,536
7.077241,525
