time,y_value
0.134266,1080
0.134266,1049
0.134266,1048
0.134266,128
3.539969,626
3.539969,141
3.539969,323
3.567348,75
3.567348,798
3.595662,775
3.595662,468
3.595662,393
3.595662,598
3.623318,791
3.650786,1080
3.650786,527
3.650786,386
3.650786,243
3.650786,224
3.677176,1080
3.677176,322
3.677176,261
3.704528,1080
3.704528,1080
3.704528,394
3.732768,1080
3.732768,1080
3.761286,617
3.761286,1080
3.761286,645
3.761286,1080
3.788832,1080
3.788832,721
3.788832,470
3.788832,323
3.788832,545
3.817984,909
3.817984,522
3.817984,328
3.817984,259
3.844756,1023
3.844756,531
3.844756,474
3.871772,716
3.871772,759
3.871772,535
3.899032,731
3.926504,730
3.954373,619
3.954373,425
3.98123,380
4.007543,645
4.007543,407
4.036603,704
4.062662,703
4.088533,668
4.088533,527
4.115598,523
4.115598,388
4.143627,554
4.143627,382
4.170171,674
4.170171,542
4.196096,677
4.196096,602
4.222454,677
4.249965,599
4.249965,455
4.277406,381
4.303487,612
4.303487,448
4.330177,662
4.355882,662
4.382657,643
4.382657,524
4.410713,530
4.437305,548
4.463339,644
4.463339,543
4.490282,640
4.517585,645
4.544899,586
4.544899,473
4.571049,452
4.597422,593
4.597422,469
4.623494,632
4.650007,632
4.67784,616
4.67784,521
4.704834,529
4.731589,557
4.758173,619
4.784542,608
4.810889,618
4.837005,567
4.837005,479
4.864511,521
4.891622,596
4.891622,510
4.918615,610
4.944465,610
4.971065,586
4.971065,506
4.997977,516
5.024239,573
5.024239,488
5.05117,604
5.077865,604
5.106275,597
5.133062,539
5.15974,546
5.186587,597
5.212968,596
5.239077,598
5.26641,559
5.29321,528
5.319797,585
5.345889,594
5.372016,594
5.39952,574
5.426474,518
5.453295,570
5.479639,590
5.506081,591
5.532852,581
5.558165,535
5.585244,552
5.612364,586
5.666535,585
5.692269,549
5.718391,538
5.745425,578
5.772538,582
5.798936,582
5.826364,562
5.852578,524
5.878674,567
5.904898,580
5.930527,580
5.95673,569
5.982925,531
6.009774,556
6.036724,576
6.063744,576
6.089535,573
6.115785,541
6.142759,545
6.169175,572
6.196054,571
6.196054,543
6.222824,573
6.250098,552
6.276549,534
6.302393,566
6.328722,571
6.354769,571
6.382003,559
6.435309,558
6.461723,569
6.488709,570
6.515587,563
6.541358,536
6.567152,551
6.593442,567
6.645325,566
6.671702,544
6.698834,543
6.724946,564
6.77758,566
6.803079,549
6.82865,536
6.854663,560
6.882404,564
6.909219,564
6.936614,554
6.988538,554
7.013616,563
7.039707,563
7.066064,558
7.092506,513
7.11871,548
7.144732,561
7.198431,559
7.225143,541
7.252335,543
7.279151,559
7.331617,560
7.359083,547
7.411698,556
7.437596,532
7.464292,559
7.490771,550
7.544238,552
7.57088,558
7.57088,535
7.597123,558
7.597123,533
7.62512,553
7.678327,548
7.705088,557
7.757992,555
7.784478,541
7.811618,544
7.837317,556
7.889663,555
7.916484,544
7.942375,541
7.970014,554
8.021302,555
8.021302,530
8.047751,547
8.101391,551
8.178572,549
8.230204,548
8.256252,554
8.325951,551
8.377748,545
8.405681,553
8.46038,552
8.46038,529
8.543598,552
8.543598,529
8.612346,552
8.641754,544
8.694853,550
8.774224,546
8.827902,548
8.910231,548
8.965326,546
9.044652,549
9.265488,549
9.397901,548
9.483913,545
11.34441,1080
11.370047,1080
11.397167,1080
11.397167,949
11.424395,1060
11.477446,1080
11.477446,1022
11.505349,1080
11.505349,1080
11.532289,1080
11.558563,1080
11.558563,1080
11.611533,249
11.611533,94
11.638585,167
11.638585,652
11.665691,718
11.665691,119
11.691118,717
11.718594,479
11.718594,113
11.718594,656
11.745341,1080
11.745341,1080
11.745341,482
11.745341,368
11.745341,157
11.745341,86
11.773635,1080
11.773635,581
11.773635,389
11.800639,1080
11.800639,1080
11.800639,514
11.827082,1080
11.827082,816
11.853749,1080
11.853749,767
11.853749,531
11.880667,895
11.880667,598
11.880667,427
11.906951,495
11.906951,415
11.934131,637
11.934131,489
11.960547,666
11.986329,666
12.013094,630
