time,y_value
0.131783,1080
0.131783,907
0.131783,465
0.131783,465
3.515835,1080
3.54379,863
3.678278,966
3.706071,1080
3.706071,1080
3.731863,1080
3.731863,1080
3.757822,1080
3.785562,662
3.785562,613
3.812187,819
3.839248,795
3.839248,688
3.866116,822
3.866116,654
3.866116,620
3.893401,639
3.893401,374
3.893401,474
3.921188,1080
3.921188,305
3.921188,80
3.948984,1080
3.948984,1080
3.948984,608
3.948984,368
3.977362,1080
3.977362,780
4.004283,780
4.004283,978
4.004283,693
4.031731,755
4.031731,585
4.068593,581
4.068593,377
4.09504,467
4.09504,322
4.123059,700
4.123059,466
4.151091,742
4.178179,742
4.205079,679
4.205079,523
4.232712,517
4.232712,379
4.258512,590
4.258512,379
4.285581,713
4.285581,577
4.312992,707
4.312992,634
4.340041,711
4.366394,626
4.366394,481
4.392463,485
4.419711,618
4.419711,442
4.447292,688
4.473291,688
4.473291,616
4.501082,675
4.501082,570
4.528565,574
4.528565,456
4.555109,526
4.555109,443
4.582286,632
4.582286,519
4.609632,669
4.63533,669
4.66278,630
4.66278,522
4.689607,528
4.716136,608
4.716136,486
4.742317,653
4.768707,653
4.795651,641
4.821289,576
4.847198,568
4.874001,637
4.901649,641
4.927064,641
4.953956,604
5.005995,616
5.032444,637
5.059843,637
5.086944,621
5.114397,556
5.1411,589
5.167407,630
5.193151,629
5.220408,628
5.247738,580
5.273632,565
5.300662,621
5.32659,625
5.35272,625
5.37929,597
5.406315,547
5.432113,606
5.458212,620
5.484806,620
5.511028,608
5.538591,557
5.565531,588
5.592685,616
5.619917,616
5.646827,613
5.672591,573
5.699048,571
5.724369,611
5.750888,611
5.776589,612
5.802996,587
5.830024,559
5.856985,600
5.884197,609
5.910799,609
5.937031,596
5.963788,555
5.990177,590
6.016991,607
6.043747,606
6.07104,601
6.098853,567
6.125342,578
6.152926,603
6.20721,603
6.234739,577
6.26113,567
6.288282,598
6.31464,602
6.34157,602
6.367875,586
6.419218,591
6.447623,600
6.474194,600
6.499904,592
6.5259,562
6.551831,581
6.578631,597
6.605674,597
6.605674,570
6.633457,595
6.659591,571
6.685295,573
6.711455,595
6.764532,595
6.791498,579
6.817803,565
6.843893,591
6.870185,593
6.895805,593
6.92243,584
6.973964,584
6.99992,592
7.025902,592
7.052868,587
7.080309,565
7.107639,579
7.134314,591
7.187826,589
7.214345,571
7.240389,572
7.267318,588
7.320778,589
7.34672,576
7.372832,567
7.400656,585
7.427629,562
7.453429,589
7.480331,580
7.53375,581
7.560031,587
7.611954,583
7.662386,577
7.689188,586
7.741959,584
7.769266,571
7.795216,572
7.823324,584
7.876548,585
7.903496,575
7.957205,582
8.01143,584
8.038366,578
8.091267,579
8.118921,584
8.171868,580
8.224923,576
8.251845,583
8.304915,581
8.35912,573
8.384133,582
8.437427,582
8.463222,573
8.516387,580
8.568745,582
8.595069,575
8.646419,578
8.727417,577
8.781387,576
8.80789,581
8.85927,578
8.91174,573
8.938028,580
8.992825,579
9.072836,579
9.125156,580
9.206166,577
9.284468,575
9.337849,575
9.495542,579
9.62815,578
9.759074,577
9.888671,576
10.862756,1080
10.890255,1023
10.916215,813
11.0209,1080
11.0209,923
11.048395,1080
11.048395,1080
11.075492,1080
11.102234,1080
11.129094,684
11.129094,620
11.156982,845
11.182762,698
11.209623,798
11.209623,590
11.209623,632
11.236781,355
11.236781,444
11.263228,1080
11.263228,287
11.263228,67
11.291972,1080
11.291972,1080
11.291972,560
11.291972,372
11.319593,1080
11.319593,1080
11.319593,790
11.319593,556
11.346872,1024
11.346872,793
11.346872,706
11.375205,1080
11.375205,767
11.375205,548
11.402377,591
11.402377,357
11.428585,448
11.428585,315
11.456691,699
11.456691,440
11.483163,746
11.510001,745
11.536513,681
11.536513,541
11.563318,531
11.563318,371
11.590117,541
11.590117,372
11.617051,689
11.617051,536
11.642873,717
11.668977,716
11.695904,646
11.695904,492
11.722904,499
11.751063,617
11.751063,422
11.777405,683
11.803154,683
11.83058,668
11.857477,594
11.857477,485
11.883819,542
11.909552,644
11.909552,534
11.935428,666
11.962026,666
11.988265,629
11.988265,528
12.015429,536
12.042379,610
12.042379,498
12.069064,652
12.09485,652
12.122227,641
12.149977,573
12.176511,580
12.202962,641
12.229277,643
12.255618,643
12.281984,601
12.281984,519
12.308445,551
12.33436,624
12.360669,638
12.386997,638
12.413809,619
12.440778,554
12.467909,599
12.493683,632
12.520332,632
12.547258,628
12.573961,576
12.600643,577
12.627459,625
12.653806,626
12.68064,627
12.708357,594
12.735229,559
12.761648,612
12.788289,622
12.815844,623
12.841932,606
12.868742,556
12.895136,596
12.92365,618
12.950383,618
12.977617,613
13.004817,572
13.032134,581
13.059296,614
13.113375,615
13.140171,584
13.16723,567
13.193416,608
13.219499,612
13.246826,612
13.272463,595
13.325459,597
13.352279,609
13.378652,609
13.405892,602
