,x_value,y_value,peak_num,time_gap,frequencies(HZ)
141,2.25855,431,1,0.026257000000000197,38.085082073351586
144,2.311462,435,1,0.05291200000000007,18.89930450559417
146,2.338413,429,1,0.026950999999999947,37.10437460576609
149,2.390824,431,1,0.05241099999999976,19.079964129667523
151,2.417487,430,1,0.026663000000000103,37.50515695908173
154,2.469639,432,1,0.052151999999999976,19.17472004908729
156,2.496373,429,1,0.026734000000000258,37.40555098376563
158,2.548846,429,1,0.05247299999999999,19.057420006479525
160,2.575229,428,1,0.026383000000000045,37.90319523935861
163,2.62773,429,1,0.05250099999999991,19.047256242738268
165,2.654685,433,1,0.026955000000000062,37.09886848451114
168,2.708419,438,1,0.05373399999999995,18.610190940559068
170,2.735169,427,1,0.02674999999999983,37.38317757009369
173,2.787316,423,1,0.052147000000000165,19.176558574798104
175,2.814078,433,1,0.02676199999999973,37.366415066138934
178,2.86669,426,1,0.052612000000000325,19.007070630274345
180,2.893158,427,1,0.026467999999999936,37.78147196614789
182,2.945282,429,1,0.05212400000000006,19.185020336121536
184,2.973108,430,1,0.027825999999999684,35.93761230503886
187,3.02583,433,1,0.05272200000000016,18.967413982777533
189,3.052328,428,1,0.026498000000000133,37.73869726017039
192,3.10538,424,1,0.053051999999999655,18.84943074719156
194,3.132478,427,1,0.027098000000000066,36.90309247914966
196,3.185841,437,1,0.05336300000000005,18.739576110788356
198,3.212585,428,1,0.02674399999999988,37.39156446305731
201,3.265346,430,1,0.05276100000000028,18.953393605124898
203,3.291022,430,1,0.02567599999999981,38.94687646050816
206,3.343829,427,1,0.05280700000000005,18.93688336773532
208,3.370147,431,1,0.02631799999999984,37.99680826810571
211,3.422832,437,1,0.052685000000000315,18.980734554427144
213,3.449032,429,1,0.02619999999999978,38.16793893129803
216,3.500426,427,1,0.05139400000000016,19.457524224617597
218,3.526977,431,1,0.02655099999999999,37.663364845015266
220,3.553126,411,1,0.026148999999999756,38.24238020574436
222,3.578374,429,1,0.02524800000000038,39.60709759188787
224,3.60459,431,1,0.026215999999999795,38.14464449191363
226,3.657545,424,1,0.05295499999999986,18.883958077613116
228,3.684511,420,1,0.026966000000000268,37.08373507379626
230,3.736519,425,1,0.05200799999999983,19.227811105983758
232,3.763082,430,1,0.026562999999999892,37.646350186349586
235,3.815473,433,1,0.052391000000000076,19.087247809738287
237,3.841299,432,1,0.025825999999999905,38.72066909316207
239,3.89431,427,1,0.05301100000000014,18.86400935654859
241,3.92093,432,1,0.026619999999999866,37.565740045079075
244,3.973395,433,1,0.052465000000000206,19.060325931573356
246,3.998416,431,1,0.025021000000000182,39.96642820031145
249,4.052412,431,1,0.053996000000000155,18.519890362249
251,4.078654,434,1,0.026241999999999877,38.10685161192
