time,y_value
0.130764,1080
0.130764,468
0.130764,467
3.528484,1080
3.554917,1080
3.581273,996
3.634258,1080
3.661447,1080
3.688088,1080
3.713828,547
3.713828,251
3.741915,101
3.741915,827
3.769105,338
3.769105,818
3.79687,829
3.824022,372
3.824022,581
3.824022,133
3.824022,272
3.851279,1080
3.851279,313
3.851279,83
3.851279,138
3.87914,1080
3.87914,1080
3.87914,641
3.87914,533
3.87914,319
3.906873,1080
3.906873,1080
3.906873,583
3.906873,502
3.906873,404
3.934427,1009
3.96164,1080
3.96164,559
3.988389,1080
3.988389,575
3.988389,371
4.015073,446
4.015073,293
4.043045,697
4.043045,441
4.070364,744
4.096904,743
4.123932,675
4.123932,499
4.152118,490
4.152118,350
4.178334,566
4.178334,352
4.206434,703
4.206434,491
4.233424,712
4.233424,607
4.259109,710
4.287073,616
4.287073,445
4.31362,404
4.340886,624
4.340886,442
4.367983,681
4.393035,681
4.393035,632
4.419735,669
4.419735,544
4.445588,546
4.445588,416
4.472481,545
4.472481,408
4.500575,656
4.500575,535
4.52581,659
4.552499,660
4.578845,614
4.578845,490
4.606218,495
4.63285,588
4.63285,441
4.659667,646
4.685368,646
4.712552,631
4.712552,551
4.738592,553
4.738592,459
4.765388,527
4.794438,616
4.820748,631
4.848048,631
4.875474,601
4.875474,508
4.902435,517
4.92869,585
4.92869,490
4.954333,619
4.981784,619
5.009026,614
5.035417,550
5.061302,554
5.08712,611
5.114184,613
5.140525,614
5.167711,573
5.19439,532
5.220309,596
5.247532,607
5.273929,608
5.300062,588
5.326553,529
5.352314,577
5.378559,602
5.404629,602
5.431329,597
5.459119,547
5.486477,556
5.512459,597
5.539668,594
5.567103,597
5.594013,564
5.621206,539
5.646212,586
5.671964,594
5.698939,594
5.726222,577
5.777665,574
5.804736,590
5.831811,590
5.858152,583
5.885826,543
5.912285,562
5.937549,587
5.991617,585
6.018168,555
6.044418,547
6.07098,581
6.097121,585
6.124821,585
6.151159,566
6.177994,536
6.205361,573
6.232069,582
6.25743,582
6.284097,573
6.31036,537
6.336849,564
6.363457,580
6.390022,580
6.417727,576
6.444151,549
6.471022,553
6.498445,576
6.551982,577
6.578571,557
6.60393,544
6.631363,571
6.657855,576
6.685089,576
6.711603,563
6.763428,565
6.789426,574
6.815717,574
6.841412,569
6.867886,543
6.867886,517
6.89452,558
6.921834,572
6.974582,570
7.00143,550
7.029219,550
7.055249,569
7.109767,570
7.137385,556
7.188917,565
7.215901,569
7.215901,543
7.243045,569
7.270299,561
7.32553,560
7.351229,568
7.377924,568
7.377924,543
7.404933,564
7.45663,555
7.483376,566
7.537529,565
7.564839,550
7.592298,550
7.618533,564
7.671033,566
7.698148,554
7.749852,561
7.803328,565
7.803328,541
7.829578,558
7.882802,558
7.909289,564
7.909289,542
7.962786,560
8.014975,554
8.041579,563
8.093787,561
8.145859,551
8.171653,561
8.225134,562
8.251866,552
8.304931,559
8.384726,555
8.440721,557
8.518791,557
8.573896,554
8.598858,561
8.651563,558
8.705283,552
8.732166,560
8.784963,559
8.865783,558
8.918911,559
8.944943,553
8.9957,556
9.12748,554
9.206459,556
9.285037,558
9.336834,557
9.549286,556
11.151181,1080
11.178618,1080
11.229207,1080
11.255773,1080
11.282811,1080
11.362453,674
11.388987,830
11.415226,830
11.443572,817
11.443572,143
11.471099,503
11.498233,1080
11.498233,411
11.498233,286
11.498233,122
11.525487,1080
11.525487,1080
11.525487,443
11.552169,1080
11.552169,1080
11.57983,983
11.57983,1002
11.607359,956
11.607359,504
11.634574,1080
11.634574,506
11.634574,323
11.662406,543
11.662406,326
11.688591,725
11.688591,538
11.715553,746
11.742675,746
11.768746,633
11.768746,429
11.79703,378
11.823996,641
11.823996,391
11.8518,712
11.877897,711
11.877897,635
11.904237,684
11.904237,558
11.930344,557
11.930344,410
11.957364,524
11.957364,402
11.98444,669
11.98444,520
12.011013,679
12.038536,679
12.065368,633
12.065368,499
12.091953,502
12.118983,578
12.118983,415
12.146218,659
12.146218,569
12.199229,653
12.226665,573
12.226665,458
12.25394,500
12.25394,440
12.279542,611
12.279542,492
12.307417,646
12.334414,646
12.360946,623
12.360946,520
12.387586,530
12.415023,574
12.442063,631
12.468211,613
12.495484,624
12.521983,570
12.521983,485
12.550009,534
12.576237,609
12.576237,526
12.602609,622
12.630249,622
12.658059,596
12.658059,514
12.684823,522
