time,y_value
0.14731,1080
0.14731,1080
0.14731,1080
0.14731,1080
3.767352,1080
3.792872,1080
3.820003,384
3.84646,782
3.84646,325
3.873554,912
3.900074,647
3.900074,911
3.92766,473
3.92766,826
3.954885,1080
3.954885,483
3.98175,1080
3.98175,423
3.98175,257
4.010162,1080
4.010162,969
4.010162,770
4.010162,436
4.038876,1000
4.038876,812
4.038876,691
4.066551,737
4.066551,812
4.066551,751
4.094685,739
4.094685,686
4.094685,608
4.094685,541
4.094685,548
4.094685,516
4.121428,448
4.121428,339
4.148576,523
4.148576,338
4.176303,736
4.176303,522
4.20404,765
4.23136,766
4.259549,676
4.259549,507
4.286905,508
4.286905,375
4.313749,630
4.313749,407
4.340719,739
4.340719,520
4.369231,716
4.396218,729
4.423264,608
4.423264,498
4.450412,503
4.476511,641
4.476511,451
4.504517,701
4.531533,700
4.531533,636
4.557412,678
4.584236,602
4.584236,483
4.612461,564
4.639487,663
4.639487,556
4.666851,686
4.692405,685
4.719345,650
4.719345,551
4.7464,560
4.773496,627
4.773496,518
4.800973,671
4.827287,670
4.85414,659
4.880222,596
4.906123,594
4.934069,659
4.960523,662
4.985988,662
5.012972,622
5.040859,571
5.068983,642
5.095547,657
5.122169,657
5.148484,639
5.176854,576
5.203395,617
5.230172,651
5.257669,651
5.284004,647
5.309943,598
5.337332,593
5.363225,644
5.390151,646
5.416871,647
5.442085,616
5.467956,578
5.494849,630
5.530428,642
5.57073,642
5.597845,627
5.626024,579
5.652967,615
5.680233,638
5.70692,638
5.733533,633
5.76107,593
5.787779,599
5.814618,634
5.840713,632
5.866337,634
5.892663,606
5.920736,587
5.947997,626
5.973688,632
6.000455,632
6.027913,617
6.081902,617
6.108815,629
6.134943,629
6.161471,623
6.188023,589
6.215524,607
6.242903,627
6.269473,626
6.297395,625
6.323958,599
6.350006,595
6.377919,622
6.405887,625
6.43335,625
6.461371,608
6.487933,586
6.515291,615
6.542944,624
6.570058,624
6.596963,612
6.62351,558
6.64974,608
6.676487,621
6.70451,621
6.733824,617
6.761203,594
6.788492,600
6.81522,618
6.869491,618
6.896337,600
6.922413,593
6.94967,614
6.977067,617
6.977067,590
7.003744,617
7.029815,606
7.082917,609
7.110663,616
7.138415,616
7.165239,610
7.191472,561
7.21984,604
7.246854,614
7.272783,614
7.272783,587
7.299158,612
7.326073,595
7.326073,569
7.353485,599
7.381336,612
7.435115,612
7.462415,599
7.488463,593
7.488463,569
7.516161,610
7.54366,612
7.54366,586
7.572113,612
7.599717,603
7.654015,606
7.681829,611
7.681829,587
7.709797,611
7.709797,588
7.738049,606
7.791355,602
7.818554,610
7.873437,608
7.902261,570
7.929878,598
7.957212,609
8.01115,609
8.038358,598
8.038358,571
8.091423,607
8.1446,608
8.17161,601
8.225591,604
8.252927,582
8.279715,582
8.306126,603
8.359421,601
8.385938,607
8.439915,605
8.493059,599
8.519756,606
8.572471,605
8.598899,571
8.652551,605
8.707189,606
8.707189,583
8.734733,576
8.788528,603
8.869973,600
8.923088,601
9.001391,602
9.054886,576
9.083041,604
9.136165,603
9.215586,603
9.268913,603
9.347988,582
9.48011,601
9.557293,579
11.139231,343
11.165755,267
11.244446,1080
11.350731,1080
11.377327,159
11.404269,765
11.404269,112
11.430434,944
11.430434,645
11.457115,945
11.485329,548
11.485329,890
11.512831,378
11.512831,586
11.512831,133
11.539022,1080
11.539022,326
11.539022,169
11.566126,1080
11.566126,1080
11.566126,579
11.566126,341
11.593313,1080
11.593313,1005
11.593313,841
11.619523,948
11.619523,843
11.619523,739
11.619523,622
11.648754,781
11.648754,545
11.676331,508
11.676331,355
11.703054,427
11.703054,299
11.730019,740
11.730019,423
11.7571,778
11.784003,779
11.811952,668
11.811952,571
11.839159,573
11.839159,391
11.86672,563
11.86672,374
11.893654,736
11.893654,558
11.920728,754
11.947868,753
11.975247,692
11.975247,536
12.002472,538
12.028942,625
12.028942,419
12.055223,709
12.055223,584
12.082448,718
12.10841,716
12.135721,650
12.135721,510
12.188492,659
12.188492,509
12.214904,696
12.241009,696
12.267786,669
12.293076,586
12.319279,611
12.346158,681
12.371807,669
12.398655,679
12.425859,624
12.4524,577
12.479388,659
12.479388,568
12.507385,673
12.534956,674
12.560151,648
12.586043,574
12.612076,631
12.637661,667
12.665173,667
12.691146,661
12.718467,604
12.744718,599
12.770782,658
12.798023,660
12.82613,661
12.852554,625
12.879477,578
12.905352,641
12.93222,655
12.959357,656
12.985785,638
13.012108,582
13.037986,620
13.064322,650
13.090839,650
13.117189,645
13.142662,600
13.168888,601
13.195103,644
13.222123,645
13.247595,646
13.273548,616
13.300754,586
13.326053,634
13.353678,642
13.379844,643
13.404974,626
13.431416,581
13.45763,621
13.48548,639
13.512428,639
13.539263,633
13.566891,596
13.59417,608
13.620535,635
13.672943,635
13.700633,608
13.727729,595
13.761642,630
13.803153,634
13.829774,634
13.869475,617
13.937777,621
13.973692,631
14.010913,632
14.037118,624
14.064073,592
14.091307,610
14.11723,629
14.14446,628
14.14446,601
14.170583,627
14.197041,600
14.221657,601
14.248806,625
14.275093,626
14.275093,598
14.302247,627
14.328819,609
14.355885,593
14.382157,619
14.409929,625
14.436371,625
14.463072,615
14.514716,613
14.541206,623
14.568519,623
14.595175,619
14.621777,596
14.64726,606
14.673416,621
14.725834,620
14.752389,603
14.777847,600
14.803987,617
14.829743,620
14.829743,592
14.855568,620
14.88123,608
14.933641,614
14.961263,619
14.989004,619
15.015402,612
15.066757,609
15.093214,618
15.120133,618
15.120133,595
15.147066,614
15.173753,597
15.173753,573
15.201364,604
15.227267,616
15.282027,615
15.308683,602
15.335088,599
15.360548,613
15.412085,616
15.43829,606
15.490756,610
15.517044,615
15.517044,591
15.542116,615
15.542116,591
15.5702,609
15.62267,607
15.650588,614
15.704333,611
15.73067,570
15.756498,603
15.784224,613
15.838573,612
15.865846,577
15.893324,599
15.921144,611
15.974764,612
16.002083,604
16.055085,608
16.106863,611
16.106863,585
16.133247,606
16.186641,606
16.213486,611
16.265092,608
16.317724,603
16.344021,610
16.344021,588
16.398654,609
16.477807,609
16.53008,610
16.53008,584
16.555998,602
16.608502,607
16.68713,604
16.740345,605
16.819142,606
16.870566,603
16.948851,607
17.029223,581
17.082273,581
17.160552,607
17.290436,584
19.336651,1080
19.363166,931
19.470227,1080
19.470227,1052
19.497149,1080
19.524464,1080
19.551351,423
19.551351,425
19.551351,408
19.578914,833
19.578914,407
19.578914,378
19.578914,382
19.607062,953
19.634002,954
19.662001,677
19.662001,436
19.662001,830
19.689767,460
19.716568,1080
19.716568,475
19.716568,262
19.745482,1080
19.745482,1080
19.745482,808
19.745482,469
19.772543,1080
19.772543,1035
19.772543,830
19.772543,607
19.799511,1080
19.799511,715
19.799511,716
19.799511,831
19.827639,714
19.827639,671
19.827639,591
19.827639,514
19.85457,425
19.85457,340
19.880791,575
19.880791,345
19.908763,758
19.908763,571
19.936508,781
