time,y_value
0.132175,1080
0.132175,1080
0.132175,724
0.132175,361
0.132175,361
0.610095,614
0.663023,607
0.7171,598
3.763515,139
3.790977,712
3.818218,847
3.845029,847
3.845029,524
3.873026,607
3.873026,815
3.89997,581
3.89997,392
3.89997,136
3.89997,162
3.927272,396
3.927272,197
3.954974,1080
3.954974,209
3.954974,111
3.982838,1080
3.982838,446
3.982838,140
4.010986,1080
4.010986,1080
4.010986,562
4.010986,431
4.038385,1030
4.038385,677
4.065259,677
4.065259,573
4.093369,706
4.093369,543
4.121545,550
4.148366,512
4.175323,653
4.175323,473
4.202861,625
4.230099,635
4.256394,617
4.256394,542
4.309269,618
4.335882,650
4.362772,654
4.390096,654
4.390096,590
4.417688,602
4.444299,604
4.470345,651
4.496303,649
4.52288,651
4.549386,618
4.576722,586
4.603062,641
4.630458,650
4.657796,650
4.685285,629
4.712392,559
4.73829,628
4.764766,648
4.790748,647
4.816664,638
4.84253,589
4.868969,614
4.895275,646
4.92324,645
4.948903,643
4.975462,604
5.002218,600
5.028776,642
5.055082,643
5.082169,644
5.108585,616
5.135824,586
5.162557,634
5.188809,642
5.215844,642
5.241975,626
5.268798,572
5.296127,623
5.322051,640
5.349377,640
5.376491,633
5.403645,592
5.429914,612
5.456571,638
5.510362,636
5.53656,603
5.561724,600
5.588962,634
5.616025,635
5.642455,636
5.668423,613
5.695283,590
5.72288,629
5.750427,635
5.777134,635
5.803417,621
5.829905,550
5.856756,621
5.883595,634
5.909593,633
5.936611,627
5.964084,592
5.990414,611
6.016564,632
6.069211,630
6.097037,602
6.123775,601
6.149267,629
6.175071,629
6.175071,599
6.202731,630
6.2304,610
6.257902,592
6.284014,624
6.309778,630
6.337448,630
6.364246,617
6.417381,618
6.443567,628
6.470715,628
6.496267,622
6.523066,592
6.549821,610
6.577129,627
6.630417,625
6.657122,600
6.683607,602
6.70986,625
6.761837,626
6.788381,607
6.81567,595
6.84226,621
6.868874,625
6.895616,625
6.923381,613
6.976021,616
7.003148,624
7.030757,624
7.057928,618
7.084166,591
7.084166,562
7.10977,609
7.135685,623
7.190311,620
7.21782,598
7.245268,603
7.271855,621
7.325566,621
7.351258,605
7.377684,597
7.404663,618
7.431158,621
7.458528,621
7.484437,609
7.537403,614
7.564564,620
7.590553,620
7.617416,614
7.643583,591
7.670456,609
7.697816,620
7.725699,620
7.752744,617
7.778717,597
7.805193,604
7.83215,618
7.883964,617
7.910431,603
7.936883,598
7.963952,616
7.991735,618
8.018355,618
8.04629,607
8.098735,613
8.124869,618
8.150101,618
8.17678,611
8.230327,609
8.257012,617
8.283432,617
8.30932,613
8.336085,596
8.361922,605
8.389173,616
8.442771,615
8.469329,601
8.496293,600
8.523931,614
8.574539,616
8.60085,605
8.654081,612
8.681527,615
8.709052,615
8.735456,608
8.789362,608
8.815996,614
8.843403,614
8.870706,610
8.922629,605
8.948911,614
9.00192,612
9.028395,599
9.05493,601
9.082079,612
9.133915,613
9.160812,603
9.186801,597
9.213715,610
9.266316,613
9.293643,605
9.347938,608
9.374916,613
9.400921,613
9.426715,608
9.477907,605
9.505553,612
9.557917,609
9.58407,597
9.611642,602
9.637621,611
9.691022,610
9.718812,601
9.746075,599
9.771688,610
9.824515,611
9.851309,603
9.906147,608
9.959152,611
9.986256,605
10.03987,605
10.067947,610
10.120159,607
10.174737,602
10.200472,610
10.254088,608
10.281548,599
10.308304,600
10.33465,608
10.386807,609
10.414791,601
10.468248,607
10.522415,609
10.548765,603
10.601523,605
10.628322,609
10.65492,609
10.682009,605
10.734571,603
10.762057,608
10.815778,606
10.869063,601
10.895308,608
10.948991,608
10.974631,600
11.027291,607
11.079076,608
11.105708,602
11.157396,605
11.210393,608
11.236951,604
11.290695,604
11.316577,608
11.369595,605
11.422858,602
11.449253,607
11.501628,606
11.501628,96
11.529676,691
11.555306,849
11.581968,849
11.581968,507
11.608777,647
11.608777,111
11.608777,821
11.63526,565
11.63526,426
11.63526,136
11.63526,133
11.66217,1080
11.66217,428
11.66217,238
11.689431,1080
11.689431,1080
11.689431,262
11.717508,1080
11.717508,1080
11.717508,168
11.746199,1080
11.746199,559
11.746199,1080
11.746199,480
11.774345,1080
11.774345,866
11.774345,673
11.774345,493
11.801692,1080
11.801692,688
11.801692,600
11.801692,371
11.828884,1080
11.828884,689
11.828884,530
11.856215,538
11.882345,567
11.908604,674
11.908604,558
11.93606,680
11.964037,681
11.991228,626
11.991228,544
12.018984,555
12.045562,634
12.045562,510
12.072061,676
12.099753,675
12.126744,654
12.153718,602
12.180051,612
12.207811,668
12.207811,597
12.233514,655
12.259908,666
12.287393,622
12.314113,588
12.340981,655
12.340981,577
12.367476,664
12.395761,664
12.422653,638
12.422653,560
12.449019,481
12.475681,640
12.502583,661
12.529556,661
12.556874,648
12.556874,577
12.58364,586
12.61142,623
12.639772,659
12.665506,658
12.693367,655
12.720333,605
12.746546,608
12.772799,654
12.772799,593
12.799718,655
12.826854,656
12.852818,620
12.878369,592
12.905196,646
12.931613,654
12.957721,654
12.984517,632
13.010683,521
13.037122,634
13.065281,652
13.09206,652
13.118935,641
13.146324,592
13.172375,618
13.199856,649
13.225472,649
13.251423,646
13.277738,604
13.304888,604
13.330902,646
13.358154,646
13.383478,647
13.40963,617
13.436476,593
13.464507,639
13.491497,645
13.518542,645
13.544836,627
13.598557,629
13.625195,644
13.651835,644
13.678639,636
13.706754,590
13.733383,620
13.76133,643
13.789172,643
13.814953,637
13.841552,604
13.867178,608
13.893613,638
13.920092,638
13.920092,612
13.946063,639
13.972789,615
13.99996,595
14.026924,633
14.054064,639
14.080805,639
14.107233,622
14.161148,626
14.188721,637
14.215922,637
14.242743,628
14.268568,593
14.295802,617
14.323454,636
14.350036,635
14.375918,633
14.402317,603
14.428901,607
14.454601,633
14.482491,631
14.482491,599
14.508567,634
14.534135,611
14.561372,597
14.589391,629
14.615953,633
14.642334,633
14.668744,619
14.722871,623
14.748828,632
14.775121,632
14.803114,624
14.830427,592
14.855863,616
14.883128,631
14.910183,631
14.937532,627
14.965853,601
14.991621,608
15.018762,629
15.070933,629
15.0974,608
15.125183,600
15.15165,626
15.178901,628
15.206176,629
15.232875,615
15.285928,621
15.312848,628
15.339778,628
15.365294,620
15.392252,592
15.419317,615
15.447123,627
