time,y_value
0.160999,1080
0.160999,1080
0.160999,563
0.160999,563
4.144087,308
4.171783,706
4.198862,809
4.22622,808
4.22622,634
4.253242,711
4.253242,415
4.253242,527
4.281117,1080
4.281117,431
4.281117,262
4.308489,1080
4.308489,970
4.308489,490
4.308489,282
4.336271,760
4.336271,978
4.336271,398
4.365914,759
4.365914,635
4.39465,740
4.39465,560
4.423168,559
4.423168,336
4.451192,453
4.451192,280
4.478339,697
4.478339,453
4.506538,725
4.533113,725
4.560995,646
4.560995,438
4.588779,442
4.588779,339
4.615581,609
4.615581,523
4.615581,355
4.641874,700
4.641874,602
4.641874,569
4.675165,699
4.675165,610
4.702085,672
4.702085,524
4.729508,517
4.729508,357
4.755777,500
4.755777,345
4.782618,663
4.782618,496
4.809743,678
4.809743,575
4.836595,676
4.863871,591
4.863871,425
4.890191,343
4.916901,607
4.916901,426
4.943705,658
4.970101,657
4.996846,629
4.996846,492
5.023997,497
5.050867,548
5.050867,385
5.078437,642
5.078437,544
5.130549,638
5.157255,551
5.157255,420
5.184374,484
5.184374,388
5.21049,609
5.21049,474
5.237466,627
5.264541,627
5.291024,590
5.291024,471
5.317879,478
5.317879,404
5.345122,560
5.345122,425
5.371502,614
5.398473,613
5.398473,573
5.424969,606
5.424969,514
5.451757,521
5.478817,521
5.504843,601
5.504843,509
5.531929,600
5.558309,602
5.584157,555
5.584157,456
5.610538,487
5.610538,431
5.636909,575
5.636909,472
5.663562,594
5.688949,594
5.715334,575
5.715334,486
5.741316,497
5.768705,550
5.768705,455
5.796128,588
5.822837,588
5.848591,583
5.875558,519
5.90195,524
5.929348,581
5.955705,581
5.982072,583
6.007819,539
6.033188,504
6.059475,568
6.059475,492
6.087256,578
6.114374,578
6.140451,553
6.140451,479
6.166562,457
6.192588,552
6.192588,476
6.220094,573
6.24678,574
6.273807,563
6.273807,496
6.300081,508
6.326921,535
6.353488,569
6.381483,568
6.408446,567
6.434121,523
6.46018,520
6.485296,563
6.51215,564
6.539481,565
6.566011,537
6.596162,505
6.623757,553
6.655748,562
6.682632,562
6.709583,545
6.736345,494
