time,y_value
0.137126,1080
3.498298,1069
3.524725,904
3.551704,777
3.817874,1080
3.817874,1051
3.845511,1080
3.872355,1080
3.899564,270
3.925942,231
3.925942,729
3.953017,854
3.953017,218
3.97938,854
3.97938,740
3.97938,298
4.007993,463
4.007993,745
4.036635,1080
4.036635,390
4.036635,307
4.065511,1017
4.065511,1080
4.065511,427
4.065511,780
4.065511,249
4.093188,794
4.093188,1080
4.093188,467
4.093188,569
4.122276,782
4.122276,658
4.149969,795
4.149969,584
4.149969,432
4.178812,540
4.178812,398
4.205998,331
4.234057,663
4.234057,356
4.261346,755
4.288212,755
4.288212,670
4.315008,712
4.315008,538
4.341896,519
4.341896,349
4.36963,497
4.36963,324
4.396409,692
4.396409,480
4.4234,721
4.450514,719
4.476566,638
4.476566,456
4.502847,456
4.502847,346
4.529501,610
4.529501,395
4.557351,692
4.557351,601
4.585345,691
4.585345,603
4.612782,679
4.612782,554
4.64104,558
4.64104,411
4.667418,509
4.667418,389
4.693479,652
4.693479,503
4.719494,668
4.746541,668
4.774065,623
4.774065,486
4.800022,489
4.826239,572
4.826239,411
4.853697,649
4.853697,562
4.88069,648
4.908284,643
4.908284,551
4.935353,557
4.935353,442
4.963368,504
4.963368,423
4.990331,611
4.990331,494
5.017322,633
5.042982,634
5.0697,610
5.0697,505
5.097402,514
5.124619,566
5.124619,449
5.151674,621
5.20629,614
5.233686,552
5.233686,467
5.261294,529
5.28685,604
5.312297,612
5.338386,612
5.36424,579
5.36424,493
5.417177,583
5.417177,494
5.443716,605
5.470251,605
5.496009,593
5.523326,527
5.55066,558
5.576301,598
5.603052,597
5.629352,597
5.656643,550
5.682979,535
5.709479,590
5.73597,594
5.763284,594
5.78931,567
5.816188,517
5.842567,575
5.869046,589
5.89512,590
5.922085,577
5.948248,524
5.974667,559
6.001115,586
6.02629,586
6.052806,582
6.07942,541
6.106762,543
6.133429,580
6.160154,581
6.186921,582
6.211956,554
6.238762,530
6.264719,572
6.290566,579
6.316607,579
6.343207,564
6.370011,517
6.396744,561
6.423262,576
6.450836,576
6.476886,571
6.502929,535
6.528653,549
6.555908,573
6.608849,572
6.635004,545
6.660827,537
6.687636,568
6.714105,570
6.740475,571
6.766618,554
6.793767,503
6.819908,561
6.845214,568
6.87268,568
6.899404,560
6.926454,504
6.952783,552
6.978642,566
7.006607,566
7.032879,563
7.059274,537
7.086324,545
7.112359,564
7.164711,563
7.191643,545
7.218129,537
7.245499,560
7.273186,563
7.273186,536
7.29906,563
7.325207,551
7.378944,555
7.406928,561
7.433436,562
7.460792,554
7.514938,550
7.540648,560
7.592934,557
7.619853,538
7.64724,544
7.674576,558
7.728758,558
7.755324,544
7.781774,537
7.807494,555
7.860805,558
7.888382,549
7.943239,551
7.969852,557
7.969852,534
7.997261,557
7.997261,533
8.024459,551
8.076384,548
8.102982,556
8.155435,552
8.208222,543
8.234912,554
8.288534,553
8.314468,541
8.34101,539
8.368149,552
8.420157,554
8.446941,544
8.499411,550
8.55316,553
8.580616,547
8.633369,547
8.660355,553
8.712294,549
8.765188,544
8.791951,552
8.84582,550
8.89924,541
8.925302,550
8.977042,551
9.003564,542
9.056567,549
9.109725,550
9.136197,544
9.18827,546
9.266948,546
9.318878,544
9.345905,550
9.398478,547
9.476723,549
9.530687,548
9.609376,548
9.663335,548
9.689397,542
9.742484,546
9.822176,544
9.875965,545
9.956285,545
10.035932,548
10.088434,546
10.167228,547
10.219903,546
10.298444,546
10.641988,544
10.774252,545
11.357864,1080
11.384355,1060
11.411546,911
11.491138,1080
11.491138,994
11.517437,1080
11.517437,1080
11.544088,1080
11.570989,554
11.598249,666
11.598249,765
11.624982,882
11.624982,733
11.652421,881
11.652421,699
11.679803,394
11.679803,588
11.708193,1080
11.708193,325
11.708193,219
11.708193,181
11.736052,1080
11.736052,1080
11.736052,341
11.736052,254
11.76356,1080
11.76356,816
11.76356,964
11.76356,323
11.791677,817
11.791677,718
11.791677,949
11.819175,801
11.819175,822
11.819175,539
11.846075,971
11.846075,359
11.873063,306
11.873063,248
11.90014,685
11.90014,384
11.926403,771
11.952216,770
11.97905,717
11.97905,515
12.006498,506
12.006498,332
12.0334,521
12.0334,327
12.059708,708
12.059708,519
12.086062,731
12.113349,731
12.113349,628
12.139538,628
12.139538,435
12.166566,435
12.166566,375
12.192458,628
12.192458,389
12.219997,702
12.219997,583
12.246502,700
12.246502,621
12.273939,676
12.273939,550
12.300213,546
12.300213,407
12.327197,519
12.327197,399
12.353517,658
12.353517,512
12.380099,669
12.406582,669
12.433401,621
12.433401,486
12.460305,491
12.486222,574
12.486222,415
12.513161,650
12.513161,564
12.54044,649
12.567652,647
12.567652,557
12.595654,565
12.595654,446
12.622607,501
12.622607,434
12.649645,611
12.649645,492
12.675103,637
12.702284,637
12.729838,610
12.729838,506
12.756599,515
12.783859,566
12.783859,448
12.810451,621
12.864353,615
12.891328,555
12.891328,472
12.916867,528
12.94294,603
12.969079,612
12.996142,612
13.022274,583
13.022274,499
13.05015,474
13.076482,581
13.076482,494
13.104198,605
13.130424,605
13.157508,595
13.183943,534
13.210372,555
13.237031,599
13.290446,598
13.316707,555
13.343463,533
13.370177,588
13.397921,594
13.424518,594
13.451141,571
13.503541,573
13.529441,590
13.555707,590
13.582671,580
13.608903,532
13.63559,556
13.662834,585
13.688597,585
13.715109,583
13.742382,547
13.768646,541
13.794847,579
13.820522,582
13.848305,582
13.874525,559
13.901663,527
13.929627,570
13.957182,579
13.98295,579
14.008864,569
14.034855,529
14.06112,558
14.08654,576
14.112935,576
14.138793,573
14.165186,540
14.192894,546
14.218809,573
14.27147,573
14.298025,550
14.325259,535
14.352191,567
14.379029,572
14.404848,572
14.431236,559
14.483457,559
14.510163,569
14.536703,569
14.562915,562
14.590267,535
14.617039,550
14.644447,567
14.698231,565
14.72441,543
14.750546,542
14.77691,564
14.830426,565
14.857929,550
14.884094,535
14.910645,559
14.936969,564
