time,y_value
0.146794,1080
0.146794,930
0.146794,1080
0.146794,931
0.146794,578
0.17806,542
0.230382,542
0.256875,542
0.282495,542
0.308699,542
0.386122,543
0.439869,542
0.492821,541
0.519268,543
0.570318,542
0.649051,543
0.701551,543
0.805332,543
0.831972,543
0.911952,542
0.938369,542
0.990689,542
1.04191,542
1.068545,542
1.120378,542
1.199151,542
1.251483,543
1.330063,542
1.381213,543
1.460451,542
1.540753,542
1.593302,542
1.672121,542
1.803977,542
1.8838,542
2.018806,542
2.151243,542
2.230693,542
2.284172,541
2.362699,542
2.493932,542
2.703865,542
3.684716,615
3.684716,240
3.684716,211
3.712475,751
3.739274,751
3.739274,486
3.739274,291
3.765816,581
3.765816,741
3.793877,588
3.793877,375
3.793877,161
3.793877,123
3.820334,387
3.846873,356
3.873791,560
3.873791,352
3.900426,637
3.927678,575
3.927678,507
3.954234,639
3.954234,472
3.981291,484
4.008626,501
4.036364,617
4.036364,487
4.062893,616
4.089534,603
4.116591,552
4.143104,507
4.143104,461
4.169828,594
4.169828,489
4.196627,616
4.222654,614
4.248916,586
4.248916,495
4.276419,512
4.303123,577
4.330692,608
4.357511,608
4.385134,597
4.385134,516
4.412617,533
4.438899,554
4.465327,604
4.465327,534
4.492462,465
4.519204,602
4.545266,552
4.572138,533
4.598595,595
4.626074,602
4.653811,602
4.680609,569
4.733218,581
4.760855,599
4.787375,600
4.814334,583
4.839645,524
4.867081,563
4.894453,597
4.920286,597
4.947223,592
4.974561,541
5.001438,545
5.028272,591
5.054663,591
5.082184,593
5.10851,555
5.135837,527
5.161679,582
5.187746,591
5.215275,592
5.243135,569
5.269609,473
5.296402,569
5.321785,589
5.348836,589
5.375527,578
5.402576,531
5.429309,556
5.456389,586
5.48274,585
5.509726,583
5.537785,544
5.563909,541
5.589926,582
5.616903,582
5.643048,584
5.66948,556
5.69528,529
5.721614,573
5.748445,582
5.775432,583
5.80208,565
5.828373,485
5.854339,563
5.881231,581
5.908276,581
5.935476,572
5.962626,534
5.989996,552
6.016049,578
6.069564,577
6.095654,545
6.122414,539
6.1491,574
6.175989,576
6.203187,577
6.228583,556
6.254939,529
6.281591,567
6.306857,576
6.333414,576
6.36133,563
6.388995,525
6.415562,558
6.441165,574
6.467712,574
6.493865,568
6.520419,537
6.546252,548
6.57251,572
6.624874,571
6.651493,546
6.677496,539
6.704526,568
6.731024,571
6.758499,572
6.784818,554
6.811681,530
6.838603,562
6.865418,570
6.893391,571
6.920233,560
6.94716,528
6.94716,490
6.973728,555
7.000446,570
7.02811,570
7.054869,565
7.081122,538
7.108802,547
7.135352,567
7.189719,567
7.217281,545
7.243822,539
7.271179,564
7.297441,567
7.297441,533
7.322799,567
7.349966,553
7.403605,559
7.430838,566
7.457621,566
7.484668,558
7.511322,531
7.538582,552
7.565945,566
7.592576,565
7.619654,561
7.646145,538
7.672642,546
7.698948,564
7.752881,564
7.778496,546
7.805737,538
7.832303,561
7.859003,563
7.885665,564
7.912087,551
7.966618,556
7.993239,563
8.020363,563
8.04669,555
8.074069,531
8.074069,492
8.101411,551
8.127678,562
8.154723,562
8.181657,559
8.208491,538
8.234862,546
8.261646,561
8.313963,561
8.340966,545
8.367615,539
8.394669,558
8.420784,560
8.447515,561
8.475276,549
8.527898,555
8.554509,560
8.580436,560
8.607274,553
8.660367,550
8.686574,559
8.713002,559
8.739263,556
8.766408,538
8.792904,545
8.820067,559
8.872846,558
8.899743,544
8.927417,540
8.954831,556
8.982387,557
9.008796,558
9.035344,549
9.087961,553
9.114668,558
9.141999,558
9.168466,552
9.221503,550
9.24801,557
9.276196,557
9.303267,554
9.329938,538
9.356291,545
9.383606,556
9.437096,556
9.464606,542
9.491713,541
9.518449,555
9.545547,555
9.572076,556
9.598211,547
9.651918,552
9.678251,556
9.705608,556
9.732056,550
9.784967,549
9.81209,555
9.838926,555
9.86555,552
9.89192,538
9.919831,545
9.946098,554
9.999116,554
10.026402,542
10.053589,542
10.080834,554
10.106495,552
10.133963,554
10.160571,546
10.214595,551
10.240149,554
10.267978,554
10.294368,548
10.348088,549
10.375157,553
10.402359,553
10.428543,551
10.454827,537
10.480606,545
10.507634,553
10.562337,552
10.588619,541
10.615492,542
10.642664,552
10.696372,552
10.722676,544
10.749931,539
10.77648,550
10.816106,552
10.843535,553
10.871046,547
10.922617,548
10.949724,552
10.976671,552
11.002775,549
11.028995,537
11.056332,545
11.082647,552
11.135693,550
11.162523,541
11.189689,543
11.216807,551
11.271692,551
11.298412,544
11.32596,540
11.352876,550
11.378142,618
11.378142,153
11.404171,737
11.404171,208
11.404171,207
11.43055,737
11.43055,208
11.43055,207
11.458608,553
11.458608,128
11.458608,707
11.458608,165
11.458608,160
11.485897,559
11.485897,380
11.485897,157
11.5124,394
11.539002,422
11.565942,575
11.565942,424
11.592818,575
11.618147,552
11.644881,552
11.644881,432
11.69712,537
11.723398,605
11.723398,527
11.750807,604
11.777701,598
11.804254,548
11.83052,526
11.857147,590
11.883366,602
11.909052,602
11.935784,574
11.962512,498
11.988845,575
12.016141,599
12.043249,599
12.069865,586
12.096409,530
12.123031,557
12.150618,596
12.177454,594
12.204979,592
12.231004,547
12.256914,540
12.283221,590
12.309866,593
12.335917,594
12.362898,562
12.389925,525
12.415923,580
12.442649,592
12.469269,592
12.495823,574
12.521883,525
12.548325,566
12.575411,590
12.602329,590
12.628638,583
12.65545,537
12.682099,552
12.708708,587
12.761595,586
12.788523,552
12.815238,537
12.841268,581
12.86814,585
12.895195,586
12.922058,562
12.975405,572
13.001217,584
13.027603,584
13.054868,572
13.081222,530
13.12019,559
13.16314,582
13.188956,582
13.224891,578
13.251965,541
13.27897,548
13.306424,579
13.33329,506
13.33329,538
13.359641,580
13.386188,552
13.413483,536
13.44058,573
13.467139,579
13.494345,579
13.521804,561
13.574464,565
13.601428,578
13.627954,578
13.654715,568
13.681224,533
13.707661,557
13.734459,576
13.761846,576
13.761846,539
13.787921,573
13.81451,543
13.842239,546
13.869366,573
13.895789,571
13.895789,535
13.922079,574
13.949129,553
13.975895,536
14.003667,568
14.030547,573
14.056615,574
14.083573,559
14.135979,561
14.161249,572
14.188093,572
14.214907,565
14.242506,535
14.269849,553
14.296232,571
14.323437,570
14.350138,568
14.376748,543
14.403229,544
14.43015,568
14.457417,567
14.457417,530
14.484479,569
14.511106,551
14.537403,536
14.564245,563
14.591194,568
14.616736,569
14.643175,557
14.696039,557
14.723771,568
14.749738,568
14.777162,561
14.803809,537
14.829908,551
14.857218,567
14.884313,566
14.911295,564
14.937769,544
14.964086,545
14.99073,564
15.018417,564
15.018417,526
15.044715,565
15.072987,551
15.098553,537
15.1247,560
15.152811,565
15.179344,565
15.204944,556
15.258484,555
15.284744,564
15.342447,564
15.369533,559
15.396196,538
15.422265,550
15.449143,563
15.505284,561
15.53191,543
15.557996,544
15.584089,561
15.610195,559
15.637022,562
15.662628,549
15.689567,538
15.717183,558
15.74386,561
15.771211,562
15.797609,553
15.850574,554
15.878301,561
15.905027,561
15.932722,556
15.958857,538
15.985266,549
16.011469,560
16.064636,559
16.091482,543
16.118552,544
16.144907,558
16.198137,559
16.225973,548
16.252467,539
16.279139,556
16.305506,558
16.331226,559
16.358813,551
16.412055,552
16.438866,558
16.465804,558
16.493092,555
16.519013,538
16.544147,548
16.570665,557
16.623616,556
16.650674,543
16.678011,545
16.705165,556
16.759082,557
16.786943,547
16.812714,540
16.839196,554
16.865124,556
16.892362,557
16.919526,550
16.986026,551
17.012546,556
17.039148,556
17.06625,553
17.092447,538
17.119485,548
17.146337,556
17.201172,554
17.227849,543
17.254622,545
17.28202,555
17.334234,555
17.361555,546
17.387263,541
17.414469,553
17.440934,554
17.468047,555
17.495637,548
17.548,550
17.576018,555
17.603515,555
17.629183,551
17.682126,549
17.708808,554
17.734308,553
17.762099,553
17.789606,542
17.815116,545
17.841584,554
17.894416,553
17.920796,545
17.947911,542
17.974916,552
18.000859,553
18.027879,554
18.054208,547
18.108592,550
18.135525,553
18.161198,553
18.188375,550
18.250204,548
18.277477,553
18.304287,552
18.330398,551
18.35695,541
18.384132,545
18.41119,552
18.464353,552
18.491334,544
18.518479,543
18.545036,552
18.57172,551
18.599159,552
18.625279,546
18.676654,550
18.70334,552
18.729719,552
18.755561,548
18.807882,548
18.834921,552
18.862044,552
18.887588,549
18.914637,541
18.941164,546
18.968405,551
19.022347,550
19.047875,544
19.075407,544
19.101913,550
19.154801,551
19.181173,545
19.207738,542
19.235532,549
19.262291,551
19.289096,551
19.315907,628
19.315907,305
19.343061,728
19.370333,728
19.370333,157
19.397971,517
19.397971,689
19.397971,292
19.425544,523
19.425544,364
19.425544,143
19.425544,160
19.452251,1080
19.452251,379
19.479317,1080
19.479317,1080
19.479317,514
19.479317,303
19.507437,1080
19.507437,1080
19.507437,432
19.534397,759
19.561389,559
19.588116,539
19.614127,520
19.640574,564
19.668197,605
19.695262,604
19.721683,586
19.748168,520
19.775014,553
19.801831,593
19.828269,594
19.855624,594
19.882257,550
19.909604,540
19.937483,589
19.963927,594
19.990127,594
20.016841,562
20.044334,526
20.071266,580
20.097617,591
20.124166,592
20.150691,576
20.177247,525
20.203352,565
20.229734,589
20.256576,589
20.28504,583
20.312732,539
20.339722,550
20.3667,586
20.4203,586
20.447387,552
20.473404,539
