,time,y_value,peak_num,time_gap,frequencies(HZ)
12,1.624888,1080,1,,
14,1.718994,904,1,0.0941059999999998,10.626315006482075
20,1.745419,870,1,0.026425000000000143,37.84295175023632
22,1.772833,892,1,0.02741400000000005,36.4777121178959
24,1.825809,1080,1,0.05297599999999991,18.87647236484449
26,1.853492,892,1,0.027682999999999902,36.123252537658615
30,1.884135,830,1,0.030642999999999976,32.63388049472965
32,1.91255,830,1,0.02841500000000008,35.192679922576005
37,2.01075,631,1,0.09819999999999984,10.183299389002054
39,2.04134,803,1,0.030590000000000117,32.690421706439885
41,2.067555,802,1,0.0262150000000001,38.14609956131971
46,2.147082,524,1,0.07952700000000013,12.574345819658712
48,2.174111,772,1,0.027028999999999748,36.99729919715895
50,2.201911,785,1,0.027800000000000047,35.971223021582674
55,2.30934,719,1,0.10742900000000022,9.308473503430154
57,2.335831,769,1,0.026491000000000042,37.74866935940502
63,2.440593,646,1,0.10476199999999958,9.545445867776522
65,2.467187,751,1,0.02659400000000023,37.602466721816626
67,2.49461,751,1,0.027423000000000197,36.465740436859306
69,2.520876,729,1,0.02626599999999968,38.07203228508384
71,2.5533,560,1,0.03242400000000023,30.841352084875183
73,2.582007,569,1,0.028706999999999816,34.83470930435108
75,2.609859,733,1,0.02785200000000021,35.904064340083025
77,2.636427,733,1,0.026567999999999703,37.63926528154212
79,2.665345,734,1,0.028918,34.58053807317242
81,2.692585,617,1,0.02723999999999993,36.710719530102885
83,2.71848,502,1,0.025895000000000223,38.61749372465694
85,2.74564,697,1,0.02715999999999985,36.818851251841146
91,2.853499,480,1,0.10785899999999993,9.27136353943575
93,2.879863,650,1,0.026364000000000054,37.93051130329229
100,3.008914,598,1,0.12905100000000003,7.748874475982362
102,3.034797,697,1,0.025883000000000322,38.63539775141937
104,3.0616,696,1,0.026802999999999688,37.30925642651985
107,3.115045,572,1,0.053444999999999965,18.710824211806543
110,3.167078,680,1,0.05203300000000022,19.218572828781653
112,3.193897,687,1,0.02681900000000015,37.2869980237889
114,3.220692,687,1,0.026794999999999902,37.32039559619346
116,3.246987,607,1,0.026294999999999735,38.03004373455068
118,3.273286,509,1,0.026299000000000294,38.02425947754625
120,3.299501,656,1,0.026214999999999655,38.146099561320355
123,3.35303,680,1,0.05352900000000016,18.68146238487543
127,3.431478,622,1,0.07844799999999985,12.747297572914567
130,3.483871,671,1,0.052393000000000356,19.08651919149492
135,3.586636,663,1,0.10276499999999977,9.73093952221089
137,3.613569,661,1,0.026933000000000096,37.12917239074728
140,3.666667,568,1,0.05309799999999987,18.833101058420326
142,3.719799,651,1,0.05313200000000018,18.821049461717923
145,3.77331,656,1,0.053510999999999864,18.687746444656288
147,3.799009,593,1,0.025698999999999916,38.91201992295433
150,3.851904,631,1,0.05289500000000036,18.90537858020594
153,3.905092,652,1,0.05318799999999957,18.80123336090863
157,3.985998,607,1,0.08090600000000014,12.360022742441824
160,4.03771,645,1,0.05171199999999976,19.337871287128802
165,4.143323,639,1,0.10561299999999996,9.46853133610446
167,4.170072,639,1,0.026749000000000578,37.384575124302906
169,4.196469,634,1,0.026396999999999338,37.88309277569516
171,4.223022,559,1,0.026553000000000715,37.66052800060155
173,4.275208,632,1,0.052185999999999844,19.162227417315044
176,4.330115,635,1,0.05490700000000004,18.212614056495514
178,4.35728,579,1,0.027165000000000106,36.81207436039006
181,4.410279,619,1,0.052998999999999796,18.868280533595048
184,4.464288,632,1,0.05400899999999975,18.51543261308309
188,4.543483,602,1,0.07919500000000035,12.627059789128046
196,4.701446,623,1,0.15796299999999963,6.330596405487376
198,4.728084,623,1,0.02663800000000016,37.540355882573536
203,4.834064,618,1,0.10597999999999974,9.435742592942088
206,4.886209,619,1,0.05214500000000033,19.177294083804654
209,4.965874,610,1,0.07966500000000032,12.552563861168593
215,5.095984,599,1,0.13010999999999928,7.68580431942207
227,5.387809,608,1,0.2918250000000002,3.4267112139124447
