Date,Open,High,Low,Close,Adj Close,Volume
2021-08-01,29817.228516,30594.529297,28452.000000,28767.214844,28767.214844,19205854098
2021-08-02,28718.542969,29025.742188,27903.027344,28222.421875,28222.421875,18426645874
2021-08-03,28205.472656,28603.087891,27161.781250,27413.794922,27413.794922,18817995544
2021-08-04,27457.158203,28771.367188,26983.533203,28617.369141,28617.369141,18267712337
2021-08-05,28615.214844,29680.492188,26927.398438,29344.912109,29344.912109,25263344860
2021-08-06,29342.263672,31191.292969,28688.675781,30858.750000,30858.750000,27550629087
2021-08-07,30870.496094,32203.111328,30716.095703,32106.509766,32106.509766,28845878981
2021-08-08,32119.939453,32630.056641,31224.583984,31585.011719,31585.011719,26179666684
2021-08-09,31580.548828,33527.710938,30909.115234,33485.277344,33485.277344,27973906826
2021-08-10,33424.214844,33688.484375,32316.841797,32947.628906,32947.628906,24246157165
2021-08-11,32958.234375,33707.328125,32789.921875,32880.761719,32880.761719,24750344592
2021-08-12,32868.679688,33324.664063,31730.511719,32168.658203,32168.658203,24417857448
2021-08-13,32176.916016,34498.382813,32067.820313,34470.503906,34470.503906,22895261494
2021-08-14,34483.031250,34690.742188,33305.203125,33968.250000,33968.250000,22510908489
2021-08-15,33968.046875,34155.886719,32873.871094,33937.355469,33937.355469,22353885175
2021-08-16,33917.847656,34621.171875,33025.246094,33237.871094,33237.871094,23681031135
2021-08-17,33188.722656,34185.992188,32405.128906,32529.416016,32529.416016,24346002054
2021-08-18,32523.150391,33419.695313,32275.894531,32598.779297,32598.779297,23425474162
2021-08-19,32555.626953,34452.960938,32064.080078,34274.679688,34274.679688,27295204148
2021-08-20,34278.746094,36214.425781,34216.429688,36212.242188,36212.242188,25472931832
2021-08-21,36203.359375,36489.558594,35457.191406,35900.542969,35900.542969,29792787516
2021-08-22,35873.832031,36307.957031,35382.613281,36200.812500,36200.812500,18621636282
2021-08-23,36178.808594,36897.652344,35753.007813,36103.484375,36103.484375,24997543764
2021-08-24,36115.289063,36321.371094,34744.691406,34759.105469,34759.105469,25764465863
2021-08-25,34774.507813,35756.667969,34354.683594,35570.941406,35570.941406,23718193505
